127.0.0.1, 2016-01-05 10:25:24, GET, /Teste/static/images/gplus-32.png, HTTP/1.1, 304, 0.000846
127.0.0.1, 2016-01-05 10:25:24, GET, /Teste/static/images/facebook.png, HTTP/1.1, 304, 0.000313
127.0.0.1, 2016-01-05 10:25:24, GET, /Teste/static/images/favicon.ico, HTTP/1.1, 200, 0.000375
127.0.0.1, 2016-01-05 10:25:25, GET, /Teste/default/index, HTTP/1.1, 200, 0.025178
127.0.0.1, 2016-01-05 10:25:26, GET, /Teste/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 304, 0.000788
127.0.0.1, 2016-01-05 10:25:28, GET, /Teste/default/user/login, HTTP/1.1, 200, 0.039877
127.0.0.1, 2016-01-05 10:25:38, POST, /Teste/default/user/login, HTTP/1.1, 303, 0.178189
127.0.0.1, 2016-01-05 10:25:38, GET, /Teste/default/index, HTTP/1.1, 200, 0.017863
127.0.0.1, 2016-01-05 10:25:45, GET, /Teste/default/user/profile, HTTP/1.1, 200, 0.034354
127.0.0.1, 2016-01-05 10:50:13, GET, /admin/default/site, HTTP/1.1, 200, 0.051629
127.0.0.1, 2016-01-05 10:50:13, GET, /admin/static/_2.13.4/css/calendar.css, HTTP/1.1, 304, 0.002156
127.0.0.1, 2016-01-05 10:50:13, GET, /admin/static/_2.13.4/js/calendar.js, HTTP/1.1, 304, 0.001074
127.0.0.1, 2016-01-05 10:50:13, GET, /admin/static/_2.13.4/plugin_multiselect/multi-select.css, HTTP/1.1, 304, 0.001463
127.0.0.1, 2016-01-05 10:50:13, GET, /admin/static/_2.13.4/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 304, 0.001727
127.0.0.1, 2016-01-05 10:50:13, GET, /admin/static/_2.13.4/js/web2py.js, HTTP/1.1, 304, 0.002977
127.0.0.1, 2016-01-05 10:50:13, GET, /admin/static/_2.13.4/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 304, 0.000522
127.0.0.1, 2016-01-05 10:50:13, GET, /admin/static/_2.13.4/plugin_multiselect/start.js, HTTP/1.1, 304, 0.002523
127.0.0.1, 2016-01-05 10:50:13, GET, /admin/static/_2.13.4/css/bootstrap.min.css, HTTP/1.1, 304, 0.000365
127.0.0.1, 2016-01-05 10:50:13, GET, /admin/static/_2.13.4/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 304, 0.001085
127.0.0.1, 2016-01-05 10:50:13, GET, /admin/static/_2.13.4/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.002713
127.0.0.1, 2016-01-05 10:50:13, GET, /admin/static/_2.13.4/css/bootstrap_essentials.css, HTTP/1.1, 304, 0.001064
127.0.0.1, 2016-01-05 10:50:13, GET, /admin/static/_2.13.4/js/jquery.js, HTTP/1.1, 304, 0.011433
127.0.0.1, 2016-01-05 10:50:13, GET, /admin/static/_2.13.4/js/bootstrap.min.js, HTTP/1.1, 304, 0.000538
127.0.0.1, 2016-01-05 10:50:13, GET, /admin/static/_2.13.4/images/questions.png, HTTP/1.1, 304, 0.000425
127.0.0.1, 2016-01-05 10:50:13, GET, /admin/static/_2.13.4/images/folder_locked.png, HTTP/1.1, 304, 0.000353
127.0.0.1, 2016-01-05 10:50:13, GET, /admin/static/_2.13.4/images/folder.png, HTTP/1.1, 304, 0.000444
127.0.0.1, 2016-01-05 10:50:13, GET, /admin/static/_2.13.4/images/glyphicons-halflings-white.png, HTTP/1.1, 304, 0.000529
127.0.0.1, 2016-01-05 10:50:14, GET, /favicon.ico, HTTP/1.1, 400, 0.000251
127.0.0.1, 2016-01-05 10:50:21, GET, /admin/default/design/Teste, HTTP/1.1, 200, 0.382542
127.0.0.1, 2016-01-05 10:50:21, GET, /admin/static/_2.13.4/images/search.png, HTTP/1.1, 200, 0.002055
127.0.0.1, 2016-01-05 10:50:21, GET, /admin/static/_2.13.4/images/help.png, HTTP/1.1, 200, 0.001540
127.0.0.1, 2016-01-05 10:50:21, GET, /admin/static/_2.13.4/images/test_icon.png, HTTP/1.1, 200, 0.001661
127.0.0.1, 2016-01-05 10:50:21, GET, /admin/static/_2.13.4/images/delete_icon.png, HTTP/1.1, 200, 0.001077
127.0.0.1, 2016-01-05 10:50:21, GET, /favicon.ico, HTTP/1.1, 400, 0.000253
127.0.0.1, 2016-01-05 10:50:28, GET, /admin/default/edit/Teste/models/menu.py, HTTP/1.1, 200, 0.295730
127.0.0.1, 2016-01-05 10:50:28, GET, /admin/static/_2.13.4/codemirror/theme/web2py.css, HTTP/1.1, 200, 0.001374
127.0.0.1, 2016-01-05 10:50:28, GET, /admin/static/_2.13.4/codemirror/lib/codemirror.js, HTTP/1.1, 200, 0.001067
